entryAge,policyTerm,rate
18,10,47.21
19,10,48.73
20,10,50.1
21,10,51.31
22,10,52.36
23,10,53.26
24,10,54
25,10,54.61
26,10,55.19
27,10,55.8
28,10,56.51
29,10,57.4
30,10,58.55
31,10,60.04
32,10,61.95
33,10,64.38
34,10,67.5
35,10,71.32
36,10,75.66
37,10,80.5
38,10,85.9
39,10,91.93
40,10,98.66
41,10,106.14
42,10,114.43
43,10,123.6
44,10,133.54
45,10,144.36
46,10,156.24
47,10,169.2
48,10,183.14
49,10,197.92
50,10,213.41
18,15,52.76
19,15,54.12
20,15,55.32
21,15,56.42
22,15,57.46
23,15,58.49
24,15,59.57
25,15,60.75
26,15,62.07
27,15,63.59
28,15,65.38
29,15,67.53
30,15,70.1
31,15,73.05
32,15,76.46
33,15,80.43
34,15,85.08
35,15,90.51
36,15,96.69
37,15,103.67
38,15,111.46
39,15,120.06
40,15,129.48
41,15,139.73
42,15,150.79
43,15,162.65
44,15,175.18
45,15,188.4
18,3,33.74
19,3,35.05
20,3,36.26
21,3,37.36
22,3,38.35
23,3,39.24
24,3,40.04
25,3,40.73
26,3,41.33
27,3,41.83
28,3,42.23
29,3,42.53
30,3,42.73
31,3,42.82
32,3,42.87
33,3,43.13
34,3,43.77
35,3,44.93
36,3,46.5
37,3,48.5
38,3,50.91
39,3,53.73
40,3,56.94
41,3,60.77
42,3,65.1
43,3,69.64
44,3,74.08
45,3,78.77
46,3,84.25
47,3,90.77
48,3,98.35
49,3,106.93
50,3,116.46
51,3,126.85
52,3,138.05
53,3,150
54,3,162.61
55,3,175.83
18,5,37.88
19,5,39.27
20,5,40.55
21,5,41.7
22,5,42.74
23,5,43.66
24,5,44.47
25,5,45.16
26,5,45.74
27,5,46.21
28,5,46.56
29,5,46.79
30,5,46.95
31,5,47.19
32,5,47.63
33,5,48.4
34,5,49.62
35,5,51.4
36,5,53.65
37,5,56.38
38,5,59.57
39,5,63.36
40,5,67.66
41,5,72.29
42,5,77.2
43,5,82.53
44,5,88.24
45,5,94.56
46,5,101.86
47,5,110.29
48,5,119.83
49,5,130.38
50,5,141.87
51,5,154.22
52,5,167.33
53,5,181.13
54,5,195.54
55,5,210.45
