entryAge,policyTerm,rate
16,15,82.98
16,20,59.85
16,25,47.2
17,15,83
17,20,59.9
17,25,47.28
18,15,83.02
18,20,59.95
18,25,47.37
19,15,83.06
19,20,60.01
19,25,47.47
20,15,83.1
20,20,60.09
20,25,47.6
21,15,83.16
21,20,60.18
21,25,47.74
22,15,83.23
22,20,60.29
22,25,47.91
23,15,83.31
23,20,60.42
23,25,48.11
24,15,83.42
24,20,60.58
24,25,48.34
25,15,83.55
25,20,60.77
25,25,48.6
26,15,83.7
26,20,60.98
26,25,48.9
27,15,83.87
27,20,61.23
27,25,49.24
28,15,84.04
28,20,61.51
28,25,49.61
29,15,84.32
29,20,61.83
29,25,50.04
30,15,84.6
30,20,62.2
30,25,50.51
31,15,84.92
31,20,62.61
31,25,51.04
32,15,85.3
32,20,63.08
32,25,51.63
33,15,85.72
33,20,63.61
33,25,52.28
34,15,86.21
34,20,64.2
34,25,53
35,15,86.76
35,20,64.86
35,25,53.78
36,15,87.38
36,20,65.59
36,25,54.64
37,15,88.08
37,20,66.4
37,25,55.57
38,15,88.86
38,20,67.28
38,25,56.59
39,15,89.71
39,20,68.25
39,25,57.68
40,15,90.66
40,20,69.3
40,25,58.85
41,15,91.7
41,20,70.43
41,25,60.12
42,15,92.83
42,20,71.66
42,25,61.48
43,15,94.07
43,20,72.97
43,25,62.93
44,15,95.41
44,20,74.39
44,25,64.49
45,15,96.85
45,20,75.91
45,25,66.15
46,15,98.41
46,20,77.53
47,15,100.07
47,20,79.25
48,15,101.85
48,20,81.09
49,15,103.74
49,20,83.04
50,15,105.75
50,20,85.1
51,15,107.88
52,15,110.13
53,15,112.5
54,15,115
55,15,117.62
