entryAge,policyTerm,rate
11,10,129.26
12,10,129.32
13,10,129.38
14,10,129.42
15,10,129.46
16,10,129.49
17,10,129.53
18,10,129.56
19,10,129.58
20,10,129.6
21,10,129.62
22,10,129.64
23,10,129.66
24,10,129.67
25,10,129.68
26,10,129.69
27,10,129.69
28,10,129.71
29,10,129.73
30,10,129.75
31,10,129.79
32,10,129.85
33,10,129.91
34,10,129.99
35,10,130.09
36,10,130.2
37,10,130.32
38,10,130.46
39,10,130.61
40,10,130.78
41,10,130.96
42,10,131.03
43,10,131.27
44,10,131.56
45,10,131.88
46,10,132.25
47,10,132.65
48,10,133.1
49,10,133.59
50,10,134.11
51,10,134.67
52,10,135.27
53,10,135.91
54,10,136.59
55,10,137.33
11,15,82.69
12,15,82.74
13,15,82.79
14,15,82.83
15,15,82.87
16,15,82.9
17,15,82.93
18,15,82.96
19,15,82.98
20,15,83
21,15,83.02
22,15,83.03
23,15,83.05
24,15,83.06
25,15,83.08
26,15,83.1
27,15,83.12
28,15,83.15
29,15,83.19
30,15,83.24
31,15,83.3
32,15,83.38
33,15,83.47
34,15,83.58
35,15,83.7
36,15,83.84
37,15,84
38,15,84.17
39,15,84.37
40,15,84.59
41,15,84.84
42,15,85.11
43,15,85.42
44,15,85.78
45,15,86.17
46,15,86.69
47,15,87.16
48,15,87.67
49,15,88.23
50,15,88.83
51,15,89.49
52,15,90.2
53,15,90.97
54,15,91.82
55,15,92.75
11,20,58.89
12,20,58.94
13,20,58.99
14,20,59.02
15,20,59.06
16,20,59.09
17,20,59.12
18,20,59.14
19,20,59.16
20,20,59.19
21,20,59.21
22,20,59.23
23,20,59.26
24,20,59.28
25,20,59.32
26,20,59.35
27,20,59.4
28,20,59.45
29,20,59.51
30,20,59.59
31,20,59.68
32,20,59.79
33,20,59.91
34,20,60.06
35,20,60.23
36,20,60.42
37,20,60.63
38,20,60.87
39,20,61.13
40,20,61.42
41,20,61.75
42,20,62.1
43,20,62.5
44,20,62.94
45,20,63.43
46,20,63.97
47,20,64.56
48,20,65.2
49,20,65.89
50,20,66.65
